;;;;;295,405,420,530,1111,1221,1236,1346,1927,2037,2052,2162;;;;;
;;68,196,367,493,628,754,927,1053,1188,1314,1487,1613,1748,1874,2047,2173,2308,2434;75,205,627,756,905,1034,1455,1584,1733,1862,2283,2412,2561;;;15,126,416,525,550,659,950,1058,1087,1195,1489,1596,1625,1732,2027,2134,2165,2272,2569;;;;
;90,172,389,469,650,730,949,1029,1210,1290,1509,1589,1770,1850,2069,2149,2330,2410;;116,160,590,765,911,1074,1510,1553,1785,1829,2266,2421;276,322,795,809,853,899,1338,1392,1914,1969,2514,2562;;904,1034,1447,1602,1999,2143,2154,2162,2560;761,822,1111,1137,1419,1483;;;
;96,182,648,733,926,1011,1476,1561,1754,1839,2304,2389,2582;116,159,589,764,911,1073,1510,1552,1784,1828,2267,2419;;;;88,122,1058,1078,1513,1547,1721,1754,2468;0,9,760,780,1060,1115,1882,1950;;;
;;275,323,796,807,852,898,1338,1391,1914,1969,2514,2563;;;;357,377,1252,1293,1395,1439,2311,2339;22,47,2199,2223,2262,2286;986,1004;;
323,375,448,500,1139,1191,1264,1316,1955,2007,2080,2132;;;;;;0,8;2478,2515;;59,110,396,430,754,768;
;42,96,444,495,578,629,980,1027,1116,1163,1519,1564,1655,1700,2057,2102,2195,2240;904,1035,1447,1602,1999,2142,2153,2162,2561;88,121,1013,1077,1513,1547,1720,1754,2468;357,376,1252,1293,1395,1438,2309,2338;0,8;;695,753,1444,1486,2265,2303;;;
;;760,822,1110,1136,1419,1483;0,6,760,779,1059,1114,1882,1949;21,46,2199,2222,2262,2285;2477,2515;692,752,1443,1485,2264,2303;;;2013,2105;
;;;;986,1003;;;;;;
;;;;;59,110,396,429,753,768;;2012,2104;;;
